fiscalDateEnding	reportedCurrency	operatingCashflow	paymentsForOperatingActivities	proceedsFromOperatingActivities	changeInOperatingLiabilities	changeInOperatingAssets	depreciationDepletionAndAmortization	capitalExpenditures	changeInReceivables	changeInInventory	profitLoss	cashflowFromInvestment	cashflowFromFinancing	proceedsFromRepaymentsOfShortTermDebt	paymentsForRepurchaseOfCommonStock	paymentsForRepurchaseOfEquity	paymentsForRepurchaseOfPreferredStock	dividendPayout	dividendPayoutCommonStock	dividendPayoutPreferredStock	proceedsFromIssuanceOfCommonStock	proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet	proceedsFromIssuanceOfPreferredStock	proceedsFromRepurchaseOfEquity	proceedsFromSaleOfTreasuryStock	changeInCashAndCashEquivalents	changeInExchangeRate	netIncome
2021-03-31	USD	23981000000	708000000	None	-28280000000	-24501000000	2797000000	2269000000	-25584000000	276000000	23630000000	-10368000000	-11326000000	0	18548000000	18548000000	None	3447000000	3447000000	None	561000000	13923000000	None	-17987000000	None	23630000000	None	23630000000
2020-12-31	USD	38763000000	619000000	None	30970000000	25615000000	2666000000	3500000000	21139000000	950000000	28755000000	-8584000000	-32249000000	44000000	24775000000	24775000000	None	3613000000	3613000000	None	0	0	None	-24775000000	None	-2070000000	None	28755000000
2020-09-30	USD	20576000000	1127000000	None	12206000000	8329000000	2702000000	1784000000	5364000000	137000000	24689000000	5531000000	-21357000000	-7153000000	17187000000	17187000000	None	3511000000	3511000000	None	450000000	5456000000	None	-16737000000	None	24689000000	None	12673000000
2020-06-30	USD	16271000000	388000000	None	-474000000	-44000000	2752000000	1565000000	1373000000	689000000	11253000000	-5165000000	-19116000000	-365000000	15891000000	15891000000	None	3656000000	3656000000	None	0	8425000000	None	-15891000000	None	10865000000	None	11253000000
2020-03-31	USD	13311000000	353000000	None	-10207000000	-8205000000	2786000000	1853000000	-9290000000	-727000000	11249000000	9013000000	-20940000000	7550000000	18574000000	18574000000	None	3375000000	3375000000	None	428000000	0	None	-18146000000	None	10896000000	None	11249000000
2019-12-31	USD	30516000000	1120000000	None	5410000000	1165000000	2816000000	2107000000	-5917000000	28000000	22236000000	-13668000000	-25407000000	-1958000000	20706000000	20706000000	None	3539000000	3539000000	None	2000000	2210000000	None	-20704000000	None	-8559000000	None	22236000000
2019-09-30	USD	19910000000	860000000	None	22085000000	19925000000	3179000000	2777000000	19320000000	785000000	24313000000	-798000000	-21039000000	-7902000000	17444000000	17444000000	None	3479000000	3479000000	None	390000000	6963000000	None	-17054000000	None	24313000000	None	13686000000
2019-06-30	USD	11636000000	801000000	None	-5496000000	-2698000000	2933000000	2000000000	214000000	-1502000000	10044000000	27502000000	-26804000000	-3980000000	16955000000	16955000000	None	3629000000	3629000000	None	1000000	0	None	-16954000000	None	10044000000	None	10044000000
2019-03-31	USD	11155000000	926000000	None	-15536000000	-10914000000	3040000000	2363000000	-10675000000	-70000000	11561000000	13348000000	-29457000000	-84000000	23702000000	23702000000	None	3443000000	3443000000	None	390000000	0	None	-23312000000	None	11561000000	None	11561000000
2018-12-31	USD	26690000000	836000000	None	-8301000000	-10073000000	3395000000	3355000000	-12035000000	1076000000	19965000000	5844000000	-13676000000	12000000	8796000000	8796000000	None	3568000000	3568000000	None	0	0	None	-8796000000	None	18858000000	None	19965000000
2018-09-30	USD	19523000000	902000000	None	21898000000	21040000000	2754000000	3041000000	22624000000	-1942000000	24084000000	-3001000000	-22580000000	-54000000	19104000000	19104000000	None	3530000000	3530000000	None	341000000	0	None	-18763000000	None	-6058000000	None	14125000000
2018-06-30	USD	14488000000	764000000	None	-649000000	1265000000	2665000000	3267000000	3946000000	-1693000000	11519000000	3947000000	-31523000000	-22000000	20783000000	20783000000	None	3653000000	3653000000	None	1000000	0	None	-20782000000	None	-13088000000	None	11519000000
2018-03-31	USD	15130000000	733000000	None	-26512000000	-24371000000	2739000000	4041000000	-28468000000	3241000000	13822000000	28710000000	-26272000000	-2000000	22756000000	22756000000	None	3190000000	3190000000	None	0	0	None	-22429000000	None	17568000000	None	13822000000
2017-12-31	USD	28293000000	623000000	None	52928000000	14993000000	2745000000	2964000000	15230000000	-434000000	20065000000	-13590000000	-7501000000	4000000	10095000000	10095000000	None	3339000000	3232000000	None	None	6969000000	None	-10095000000	None	7202000000	None	20065000000
2017-09-30	USD	15749000000	636000000	None	16410000000	16838000000	2484000000	4209000000	13040000000	1709000000	19931000000	-9942000000	-4089000000	-28000000	7795000000	7795000000	None	3270000000	3252000000	None	281000000	6937000000	None	-7514000000	None	1718000000	None	10714000000
2017-06-30	USD	8672000000	449000000	None	-1030000000	4571000000	2354000000	2277000000	2002000000	236000000	17488000000	-3180000000	-2078000000	3974000000	7093000000	7093000000	None	3365000000	3281000000	None	1000000	10750000000	None	-7092000000	None	3414000000	None	8717000000
2017-03-31	USD	12570000000	510000000	None	-10990000000	-7725000000	2332000000	2889000000	-7373000000	198000000	20591000000	-14202000000	418000000	-1012000000	7161000000	7161000000	None	2988000000	2988000000	None	273000000	10975000000	None	-6888000000	None	-1214000000	None	11029000000
2016-12-31	USD	27234000000	497000000	None	4448000000	704000000	2987000000	3420000000	-1322000000	580000000	17891000000	-19122000000	-12225000000	4770000000	10851000000	10851000000	None	3130000000	3042000000	None	0	0	None	-10851000000	None	-4113000000	None	17891000000
2016-09-30	USD	16533000000	424000000	None	14398000000	10611000000	2548000000	4038000000	10257000000	301000000	17813000000	-7397000000	-6889000000	-8778000000	6026000000	6026000000	None	3071000000	3071000000	None	248000000	6970000000	None	-5778000000	None	2247000000	None	9014000000
2016-06-30	USD	10634000000	327000000	None	-4916000000	-7974000000	2526000000	2905000000	-6681000000	-450000000	7796000000	-4470000000	-9441000000	8990000000	10166000000	10166000000	None	3117000000	3117000000	None	0	2400000000	None	-10166000000	None	-3277000000	None	7796000000
2016-03-31	USD	-9490000000	169000000	None	-10100000000	-2087000000	2477000000	2599000000	-724000000	-170000000	10516000000	-13660000000	6884000000	1474000000	6667000000	6667000000	None	2879000000	2879000000	None	246000000	15584000000	None	-6421000000	None	4825000000	None	10516000000
2015-12-31	USD	28548000000	396000000	None	-1249000000	-2901000000	2954000000	4006000000	-3896000000	102000000	18361000000	-20450000000	-1681000000	-2480000000	6863000000	6863000000	None	2898000000	2898000000	None	1000000	0	None	-6862000000	None	-4431000000	None	18361000000
2015-09-30	USD	-43358000000	87000000	None	12963000000	9473000000	3119000000	3658000000	6701000000	307000000	20548000000	-1375000000	-6299000000	7998000000	13253000000	13253000000	None	2950000000	2964000000	None	219000000	5802000000	None	-13034000000	None	5801000000	None	11124000000
2015-06-30	USD	10677000000	207000000	None	981000000	1551000000	3084000000	2089000000	1743000000	-354000000	10677000000	-11403000000	-2997000000	1400000000	10000000000	10000000000	None	2997000000	3053000000	None	15000000	9980000000	None	-9985000000	None	830000000	None	10677000000
2015-03-31	USD	13569000000	18000000	None	-13371000000	-15795000000	2479000000	2476000000	-11812000000	113000000	13569000000	-22331000000	-2734000000	-198000000	6970000000	6970000000	None	2734000000	2743000000	None	229000000	7847000000	None	-6741000000	None	-4989000000	None	13569000000
2014-12-31	USD	62672000000	202000000	None	14615000000	4577000000	2575000000	3265000000	2757000000	172000000	18024000000	-21165000000	-6923000000	-4818000000	5030000000	5030000000	None	2750000000	2801000000	None	80000000	3485000000	None	-4950000000	None	5634000000	None	18024000000
2014-09-30	USD	16009000000	17000000	None	14121000000	11262000000	1969000000	3826000000	10252000000	246000000	16009000000	2997000000	-2807000000	4296000000	17000000000	17000000000	None	2807000000	2829000000	None	295000000	0	None	-16705000000	None	867000000	None	8467000000
2014-06-30	USD	7748000000	161000000	None	-1390000000	-132000000	1946000000	2378000000	1020000000	-235000000	7748000000	-22214000000	-2830000000	2010000000	5000000000	5000000000	None	2830000000	2867000000	None	94000000	11960000000	None	-4906000000	None	-5972000000	None	7748000000
2014-03-31	USD	10919000000	0	None	-10077000000	-10003000000	1887000000	1382000000	-9377000000	-293000000	10223000000	11741000000	-2655000000	0	17971000000	17971000000	None	2655000000	2661000000	None	207000000	0	None	-17764000000	None	4872000000	None	10223000000
2013-12-31	USD	22670000000	161000000	None	10754000000	5234000000	2144000000	1985000000	4557000000	358000000	13072000000	-15103000000	-7749000000	0	5029000000	5029000000	None	2739000000	2769000000	None	134000000	0	None	-4895000000	None	-182000000	None	13072000000
2013-09-30	USD	9908000000	0	None	8100000000	6659000000	1783000000	1955000000	7188000000	67000000	13871000000	611000000	-7508000000	None	4910000000	4910000000	None	2763000000	2769000000	None	195000000	None	None	-4715000000	None	3011000000	None	7512000000
2013-06-30	USD	7828000000	0	None	-557000000	1354000000	1694000000	1885000000	117000000	452000000	6900000000	-6507000000	-2126000000	None	16000000000	16000000000	None	2789000000	2811000000	None	60000000	None	None	-15940000000	None	-805000000	None	6900000000
2013-03-31	USD	12504000000	0	None	-9352000000	-9264000000	1692000000	2008000000	-8198000000	-210000000	9547000000	-14357000000	-2248000000	None	0	0	None	2490000000	2491000000	None	199000000	None	None	199000000	None	-4101000000	None	9547000000
2012-12-31	USD	23426000000	0	None	10129000000	3093000000	1588000000	2317000000	2842000000	664000000	13078000000	-13521000000	-4497000000	None	1950000000	1950000000	None	2486000000	2493000000	None	76000000	None	None	-1874000000	None	5408000000	None	13078000000
2012-09-30	USD	9136000000	None	None	3132000000	3987000000	981000000	3461000000	4394000000	-331000000	14401000000	-4313000000	-2022000000	None	0	0	None	2500000000	2488000000	None	232000000	None	None	232000000	None	2801000000	None	8223000000
2012-06-30	USD	10189000000	None	None	1208000000	2277000000	835000000	2056000000	529000000	20000000	8824000000	-12310000000	-55000000	None	0	0	None	0	None	None	56000000	None	None	56000000	None	-2176000000	None	8824000000
2012-03-31	USD	13977000000	None	None	-2579000000	-2311000000	740000000	1457000000	-2725000000	-134000000	11622000000	-14476000000	310000000	None	0	0	None	0	None	None	286000000	None	None	286000000	None	-189000000	None	11622000000
2011-12-31	USD	17554000000	None	None	8082000000	6189000000	721000000	1321000000	4767000000	460000000	13064000000	-17128000000	69000000	None	0	0	None	0	None	None	91000000	None	None	91000000	None	495000000	None	13064000000
2011-09-30	USD	10429000000	None	None	2300000000	-29000000	543000000	1645000000	244000000	-113000000	11380000000	-13136000000	431000000	None	None	None	None	None	None	None	254000000	None	None	254000000	None	-2276000000	None	6623000000
2011-06-30	USD	11108000000	None	None	2366000000	0	481000000	777000000	376000000	-41000000	7308000000	-15032000000	37000000	None	None	None	None	None	None	None	83000000	None	None	83000000	None	-3887000000	None	7308000000
2011-03-31	USD	6219000000	None	None	365000000	1594000000	434000000	624000000	221000000	45000000	5987000000	-1522000000	547000000	None	None	None	None	None	None	None	286000000	None	None	286000000	None	5244000000	None	5987000000
2010-12-31	USD	9773000000	None	None	3633000000	1342000000	356000000	1214000000	950000000	-166000000	6004000000	-10729000000	429000000	None	None	None	None	None	None	None	208000000	None	None	208000000	None	-527000000	None	6004000000
2010-09-30	USD	5683000000	None	None	4923000000	3683000000	329000000	760000000	3525000000	109000000	7512000000	-4383000000	256000000	None	None	None	None	None	None	None	179000000	None	None	179000000	None	1556000000	None	4308000000
2010-06-30	USD	4801000000	None	None	3107000000	2341000000	273000000	595000000	1817000000	304000000	3253000000	-5430000000	316000000	None	None	None	None	None	None	None	199000000	None	None	199000000	None	-313000000	None	3253000000
2010-03-31	USD	2330000000	None	None	-1606000000	-251000000	216000000	274000000	-211000000	62000000	3074000000	-83000000	162000000	None	None	None	None	None	None	None	160000000	None	None	160000000	None	2409000000	None	3074000000
2009-12-31	USD	5781000000	None	None	1878000000	-197000000	209000000	376000000	-271000000	121000000	3378000000	-3958000000	523000000	None	None	None	None	None	None	None	374000000	None	None	374000000	None	2346000000	None	3378000000
2009-09-30	USD	3110000000	None	None	None	None	197000000	459000000	None	75000000	5105000000	-3771000000	319000000	None	None	None	None	None	None	None	187000000	None	None	187000000	None	-342000000	None	2532000000
